time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_meas1,tau_meas2
0.000000000000000000e+00,8.204400539398193359e-01,2.287549018859863281e+00,1.540975952148437500e+01,1.383225345611572266e+01,-6.306604482233524323e-04,1.620856579393148422e-03
1.000165939331054688e-03,8.204400539398193359e-01,2.287549018859863281e+00,1.540975952148437500e+01,1.383225345611572266e+01,-6.306604482233524323e-04,1.620856579393148422e-03
2.000331878662109375e-03,8.495857119560241699e-01,2.312476158142089844e+00,1.554561328887939453e+01,1.346675586700439453e+01,-3.513433621264994144e-04,2.385346597293391824e-04
3.000497817993164062e-03,8.495857119560241699e-01,2.312476158142089844e+00,1.554561328887939453e+01,1.346675586700439453e+01,-3.513433621264994144e-04,2.385346597293391824e-04
4.000663757324218750e-03,8.778684735298156738e-01,2.335102319717407227e+00,1.560263442993164062e+01,1.276922225952148438e+01,1.023845470626838505e-04,2.220858441432937980e-04
5.000829696655273438e-03,8.778684735298156738e-01,2.335102319717407227e+00,1.560263442993164062e+01,1.276922225952148438e+01,1.023845470626838505e-04,2.220858441432937980e-04
6.000995635986328125e-03,9.064388871192932129e-01,2.360413074493408203e+00,1.566654872894287109e+01,1.335363101959228516e+01,-1.720025029499083757e-04,7.742632296867668629e-04
7.001161575317382812e-03,9.064388871192932129e-01,2.360413074493408203e+00,1.566654872894287109e+01,1.335363101959228516e+01,-1.720025029499083757e-04,7.742632296867668629e-04
8.001327514648437500e-03,9.357283115386962891e-01,2.381888628005981445e+00,1.568998908996582031e+01,1.255383872985839844e+01,8.960260311141610146e-05,1.056302338838577271e-03
9.001493453979492188e-03,9.653053879737854004e-01,2.404898405075073242e+00,1.577209377288818359e+01,1.212107753753662109e+01,-1.856444432632997632e-04,9.404378943145275116e-04
1.000165939331054688e-02,9.653053879737854004e-01,2.404898405075073242e+00,1.577209377288818359e+01,1.212107753753662109e+01,-1.856444432632997632e-04,9.404378943145275116e-04
1.100182533264160156e-02,9.949303865432739258e-01,2.427141189575195312e+00,1.585886096954345703e+01,1.202351093292236328e+01,2.609311777632683516e-04,6.324051064439117908e-04
1.200199127197265625e-02,9.949303865432739258e-01,2.427141189575195312e+00,1.585886096954345703e+01,1.202351093292236328e+01,2.609311777632683516e-04,6.324051064439117908e-04
1.300215721130371094e-02,1.023740410804748535e+00,2.448616981506347656e+00,1.574965763092041016e+01,1.181171512603759766e+01,-7.903860387159511447e-05,9.419804555363953114e-04
1.400232315063476562e-02,1.023740410804748535e+00,2.448616981506347656e+00,1.574965763092041016e+01,1.181171512603759766e+01,-7.903860387159511447e-05,9.419804555363953114e-04
1.500248908996582031e-02,1.051879405975341797e+00,2.469325542449951172e+00,1.568790721893310547e+01,1.150814723968505859e+01,-4.140919481869786978e-04,-2.049101603915914893e-04
1.600265502929687500e-02,1.051879405975341797e+00,2.469325542449951172e+00,1.568790721893310547e+01,1.150814723968505859e+01,-4.140919481869786978e-04,-2.049101603915914893e-04
1.700282096862792969e-02,1.081120967864990234e+00,2.488883972167968750e+00,1.570614624023437500e+01,1.094680786132812500e+01,4.842152411583811045e-04,4.602986446116119623e-04
1.800298690795898438e-02,1.109547495841979980e+00,2.510359525680541992e+00,1.572499084472656250e+01,1.126629734039306641e+01,-5.662569310516119003e-05,1.129703363403677940e-03
1.900315284729003906e-02,1.109547495841979980e+00,2.510359525680541992e+00,1.572499084472656250e+01,1.126629734039306641e+01,-5.662569310516119003e-05,1.129703363403677940e-03
2.000331878662109375e-02,1.137830257415771484e+00,2.531451940536499023e+00,1.555142784118652344e+01,1.117873859405517578e+01,3.338422175147570670e-05,4.506682162173092365e-04
